Sampling,T0_mean,T0_sd,T1_mean,T1_sd,T2_mean,T2_sd,T3_mean,T3_sd
S-0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
S-1,57.776,1.861,70.481,1.851,85.912,2.362,95.719,2.156
S-2,65.936,2.798,75.407,1.353,88.381,1.612,98.100,1.145
S-3,77.083,2.324,84.052,2.065,93.031,1.864,97.944,1.092
