Sampling,T0_mean,T0_sd,T1_mean,T1_sd,T2_mean,T2_sd,T3_mean,T3_sd
D-7,4.705,1.455,4.705,1.455,4.705,1.455,4.705,1.455
D-14,7.885,2.806,8.511,2.128,8.626,1.367,12.049,0.941
D-21,11.357,3.741,12.365,1.763,13.436,1.594,16.305,1.908
D-28,14.231,1.723,14.461,2.965,14.915,2.186,18.760,3.422
